id,rpt_yr,grad_date,orig_major,grad_major,current_major,biol_108,biol_109,exsc_110,exsc_140,act_english,act_math,act_reading,act_science,act_composite,sat_verbal,sat_math,sat_composite
653403,2010,5/10/2014,PSYC,PSYC,,,,,,,,,,,550,640,1190
679267,2010,5/10/2014,FLIS,THEA,,,,,,26,17,23,23,22,,,
886158,2010,,BA  ,,,,,,2,15,23,19,21,20,,,
518727,2011,5/9/2015,BA  ,COMM,,,,,3.33,21,20,21,21,21,,,
520854,2011,5/9/2015,BIOL,BIOL,,,,,,22,26,24,26,25,480,550,1030
522606,2011,,PMLS,,,,,,,23,20,25,21,22,580,500,1080
545656,2011,,PNRS,,,2.33,3,,,27,26,28,24,26,490,550,1040
618171,2011,5/9/2015,BA  ,BA  ,,,,2,,28,26,30,27,27,,,
618270,2011,5/9/2015,BA  ,BA  ,,,,,1,22,23,23,26,24,,,
622922,2011,5/9/2015,COMM,COMM,,,,,,23,21,30,22,23,550,430,980
623201,2011,,PNRS,,,2,1,,,20,16,19,20,19,,,
624706,2011,,PNRS,,NURS,3.67,4,,,23,23,22,25,23,,,
626709,2011,,MUST,,,,,,,20,22,20,22,21,,,
627864,2011,,ENGL,,ENGL,,,,,30,26,35,27,30,,,
629511,2011,5/9/2015,MAAC,MAAC,,,,,,24,25,23,24,24,,,
629549,2011,,PNRS,,,3.33,3.67,,,29,28,31,29,28,,,
638849,2011,5/9/2015,PSYC,PSYC,,,,,,27,18,31,23,25,,,
642597,2011,5/9/2015,UNDE,ECON,,,,,,26,26,21,22,24,470,630,1100
655649,2011,5/9/2015,PNRS,NURS,,4,4,,,32,28,28,28,28,,,
655673,2011,5/9/2015,BIOL,BIOL,,,,,,24,18,25,21,22,620,450,1070
661979,2011,5/9/2015,UNDE,CJS.,,,,,,20,16,21,18,19,,,
680693,2011,,EXSC,,,1.67,,,4,31,25,29,28,27,,,
861728,2011,5/9/2015,MUS ,MUS ,,,,,,25,23,25,21,24,,,
867973,2011,5/9/2015,BMB ,BMB ,,,,,,26,29,33,30,30,,,
885976,2011,,PSYC,,,,,,,30,24,22,23,25,,,
886310,2011,,PNRS,,,3,3,,,17,23,19,22,20,,,
889300,2011,,UNDE,,,2,2,3,2.67,21,20,19,20,20,,,
907007,2011,8/11/2015,FLIS,FLIS,,,,,,24,24,31,24,26,,,
907582,2011,,ELED,,,,,,,22,16,21,19,20,,,
908371,2011,,PMLS,,,3,3,,,25,22,21,18,22,,,
908393,2011,5/9/2015,SPAN,SPAN,,,,,,36,28,34,26,31,700,610,1310
910048,2011,5/9/2015,ACCT,BA  ,,3.67,,4,,22,25,21,24,23,,,
917531,2011,,COMM,,COMM,,,,,30,25,30,27,28,,,
924284,2011,5/9/2015,EXSC,ART ,,1.33,,2,2,27,20,23,21,22,,,
924369,2011,,ART ,,,,,,,20,21,19,18,20,510,500,1010
934817,2011,5/9/2015,BIOL,R.T.,,2,2,,,20,17,23,17,19,,,
935480,2011,5/9/2015,ECON,ECON,,,,,,28,27,28,24,27,,,
940742,2011,5/9/2015,BA  ,ECON,,,,,,27,28,33,24,28,660,650,1310
943176,2011,,ELED,,,,,,,26,20,22,21,21,,,
943320,2011,,EXSC,,,2,2.33,1.67,4,29,23,27,30,27,,,
943609,2011,5/9/2015,PNRS,R.T.,,2,2,,,21,16,25,22,21,,,
946168,2011,5/9/2015,UNDE,CHEM,,2.33,3,2.67,,24,25,21,23,23,,,
946391,2011,,UNDE,,,,,,,21,24,23,20,22,480,540,1020
953434,2011,,FLIS,,ACCT,,,,,36,28,33,28,31,,,
957020,2011,5/9/2015,BA  ,BA  ,,,,,,28,23,24,24,23,,,
958431,2011,,CJS.,,,,,,,22,26,25,25,28,,,
963017,2011,,ART ,,,,,,,24,22,30,25,25,,,
965158,2011,5/9/2015,PNRS,NURS,,4,4,,4,28,28,30,26,28,,,
970256,2011,,ENVS,,,,,,,,,,,,620,470,1090
979318,2011,,UNDE,,COMM,,,,,23,24,23,25,24,,,
979425,2011,,BMB ,,,,,,,35,25,33,30,31,750,570,1320
979324,2011,,BIOL,,CJS.,,,,,20,17,23,24,21,,,
868458,2011,,CS  ,,CS  ,,,,,24,27,22,25,25,,,
907597,2011,5/9/2015,EXSC,FINA,,3,2,3.33,2.67,27,26,22,24,25,,,
650792,2011,5/9/2015,ELED,THEO,,,,,,25,25,23,22,24,,,
422161,2008,5/12/2012,UNDE,CHEM,,,,,,33,30,27,30,30,,,
422285,2008,5/12/2012,UNDE,P.T.,,,,,,29,26,26,28,27,,,
423316,2008,5/12/2012,ENGL,ENGL,,,,,,27,26,31,27,27,,,
424562,2008,5/12/2012,ELED,EDMI,,,,,,,,,,,560,640,1200
425930,2008,5/12/2012,UNDE,COMM,,,,,,35,35,33,32,34,,,
426954,2008,12/19/2012,PNRS,ELED,,2.33,2,,,23,16,23,24,22,,,
427283,2008,5/12/2012,EXSC,P.T.,,4,4,4,4,22,32,25,27,26,,,
427874,2008,,UNDE,,,,,,,22,20,22,24,22,,,
427946,2008,5/12/2012,PHIL,PHIL,,,,,,29,24,30,25,27,510,610,1120
427981,2008,5/12/2012,PSYC,PSYC,,4,4,,,28,27,20,22,24,570,640,1210
428243,2008,,PNRS,,,2,,,,22,22,18,22,21,,,
428886,2008,,PNRS,,,2.67,1,,,20,17,23,22,21,,,
429266,2008,5/12/2012,ELED,ELED,,,,,,33,28,30,24,28,,,
431040,2008,5/12/2012,BIOL,BIOL,MDLA,,,,4,21,21,27,26,24,,,
431405,2008,,BIOL,,,,,,,,,,,,520,590,1110
436092,2008,,EXSC,,,3.67,3,4,4,25,24,28,23,25,,,
438335,2008,5/12/2012,MAAC,MATH,,,,,,27,29,27,27,28,,,
438417,2008,,BIOL,,,,,,,22,24,25,22,23,580,610,1190
438812,2008,5/12/2012,PS  ,PS  ,,,,,3,22,18,22,20,20,,,
439187,2008,5/12/2012,UNDE,ACCT,,,,,,25,31,28,27,27,,,
439463,2008,5/12/2012,PCLS,MDLS,,4,4,,,,,,,,540,520,1060
445118,2008,5/12/2012,PSYC,PSYC,,,,,,22,20,35,25,26,,,
445299,2008,,BA  ,,,,,,,19,24,20,26,22,,,
451369,2008,,UNDE,,,3,,,3,24,28,25,26,25,,,
453770,2008,12/19/2012,BA  ,MUS ,,,,,3.67,19,17,23,23,21,,,
455683,2008,12/14/2011,ARTA,ARTA,,,,,,23,26,31,26,27,600,520,1120
456377,2008,,PNRS,,,0,,,,,,,,,470,380,850
457468,2008,,UNDE,,,,,3,3,21,20,18,21,20,,,
482988,2008,5/11/2013,UNDE,BIOL,,,,,3,,,,,,540,670,1210
477131,2011,5/9/2015,CJS.,CJS.,,,,,,28,27,27,30,27,,,
486906,2011,,EXSC,,,,,1,2,25,20,25,21,22,,,
505577,2011,,PSYC,,,,,,,25,24,27,24,24,,,
106243,2008,5/12/2012,ACCT,BA  ,,,,,,28,28,24,25,26,,,
181912,2008,12/19/2012,UNDE,ENGL,,,,,,20,18,22,20,20,,,
194544,2008,5/12/2012,UNDE,FLIS,,3,3.67,,,29,19,30,24,25,,,
255051,2008,5/12/2012,PSYC,HIST,,,,,,29,27,31,28,28,620,640,1260
326104,2008,5/12/2012,UNDE,ECON,,,,,,34,32,25,24,29,,,
355213,2008,12/19/2012,PSYC,PSYC,,,,,,21,18,20,16,19,470,490,960
356509,2008,5/12/2012,BA  ,BMB ,,,,,,26,25,25,23,25,,,
361621,2008,5/10/2014,PNRS,NURS,,3,3,,,26,26,23,25,25,,,
371295,2008,5/12/2012,UNDE,ELED,,,,,,29,26,30,25,28,600,600,1200
373568,2008,,UNDE,,,,,,,35,30,32,32,32,,,
373923,2008,5/12/2012,ART ,ART ,,,,,,30,21,22,22,23,580,480,1060
374294,2008,,BA  ,,,,,,,25,23,28,27,26,540,540,1080
376653,2008,5/12/2012,MAAC,ECON,,,,,,30,32,30,30,30,,,
378779,2008,5/12/2012,EXSC,P.T.,,3.33,3,4,4,29,30,24,26,27,,,
381503,2008,5/12/2012,ENGL,ENGL,,2.67,2.67,,4,36,24,31,29,30,540,440,980
383116,2008,5/12/2012,ACCT,ACCT,,,,,,26,27,31,22,27,620,630,1250
385263,2008,5/12/2012,ENGL,ENGL,,,,,,35,29,27,27,29,690,650,1310
390164,2008,5/12/2012,EXSC,P.T.,,4,4,4,4,32,27,28,24,28,530,590,1120
391072,2008,5/12/2012,HIST,COMM,,,,,2,22,20,29,22,22,,,
395308,2008,5/12/2012,PNRS,NURS,,3,3,,,22,24,33,23,24,,,
417170,2008,,PNRS,,,2,,,,28,24,31,24,27,,,
417973,2008,,PSYC,,,,,,,,,,,,530,580,1110
419437,2008,,ART ,,,,,,,,,,,,650,590,1240
420338,2008,5/12/2012,ENGL,ENGL,,,,,4,31,23,30,24,26,620,500,1120
421420,2008,5/12/2012,ENGL,ENGL,,,,,,33,29,36,30,32,730,600,1330
548939,2009,12/18/2013,AIT ,COMM,,,,,0,,,,,,530,540,1070
493588,2009,5/11/2013,ACCT,AIT ,,,,,,22,24,22,26,24,440,620,1060
415447,2009,,MUST,,,,,,,23,21,23,22,22,,,
624113,2010,,MUS ,,,,,,,19,18,26,24,22,520,440,960
655263,2010,5/10/2014,PMLS,NURS,,2,2,,,28,27,27,26,27,,,
571486,2010,5/10/2014,EXSC,EXSC,,3,3,4,4,28,22,28,24,25,,,
573285,2010,5/9/2015,BIOL,BIOL,,,,,,31,21,31,23,27,,,
625210,2010,5/10/2014,MAAC,ECON,,,,,,26,33,26,25,28,,,
654353,2010,,UNDE,,,,,,,24,22,25,24,24,,,
245646,2012,,EXSC,,BMB ,4,4,3.67,4,22,24,33,28,27,,,
298734,2012,,UNDE,,UNDE,,,,,27,19,33,25,26,,,
622909,2012,,UNDE,,PSYC,,,,,22,17,29,21,22,,,
624533,2012,,PSYC,,PSYC,,,,,32,29,32,27,29,,,
673329,2012,,PSYC,,NURS,3.33,4,,,20,19,25,21,21,,,
675722,2012,,ECON,,,,,,,26,29,29,27,28,570,690,1260
675773,2012,,BIOL,,PSYC,,,,,26,20,23,23,23,,,
677250,2012,,ACCT,,ACCT,,,,,28,31,28,28,29,540,650,1190
677970,2012,,PSYC,,,,,,,30,26,30,28,28,600,510,1110
678708,2012,,ELED,,ELED,,,,,23,27,23,28,25,,,
679124,2012,,ELED,,,,,,,30,23,27,21,25,,,
906698,2012,,CHEM,,CHEM,,,,,29,21,16,21,22,,,
951058,2012,,UNDE,,CJS.,,,,,25,18,23,23,22,510,400,910
956982,2012,,PNRS,,COMM,2,2.33,,,27,24,28,24,26,540,550,1090
970378,2012,,PNRS,,LS  ,3,2.33,,,24,19,21,21,21,,,
974689,2012,,EXSC,,NURS,4,3.33,4,4,22,24,21,24,23,480,490,970
989987,2012,,EXSC,,EXSC,3,2.33,4,4,24,28,21,24,23,,,
990191,2012,,EXSC,,,,,2,,21,25,29,21,24,,,
992390,2012,,CS  ,,,,,,,17,16,26,20,20,,,
996547,2012,,COMM,,,,,,,24,20,26,23,23,,,
997193,2012,,PMLS,,ELED,,,,,23,20,22,21,22,,,
998486,2012,,ART ,,ART ,,,,,24,25,25,22,24,560,570,1130
1000239,2012,,MUST,,MUS ,,,,,24,19,24,22,21,,,
1003347,2012,,PNRS,,NURS,3,3,,,22,24,27,23,24,540,520,1060
1004787,2012,,PNRS,,PSYC,2.33,2,3,,21,23,26,24,23,,,
1005253,2012,,BIOL,,,,,,,24,27,24,28,26,,,
1005589,2012,,PNRS,,NURS,4,3,,,22,25,24,22,23,,,
1006224,2012,,BA  ,,,,,,,20,20,22,21,20,,,
1006285,2012,,COMM,,ART ,,,,,31,22,34,28,28,,,
1009822,2012,,MUST,,,,,,,,,,,,500,530,1030
1010535,2012,,DAT ,,BA  ,,,,,22,24,21,22,22,,,
1010994,2012,,PNRS,,LS  ,2,3.33,,,21,27,24,24,24,540,460,1000
1011983,2012,,PS  ,,ACCT,,,,,30,29,27,34,30,660,600,1260
1012440,2012,,BIOL,,,,,,,26,22,30,27,26,,,
1014817,2012,,CHEM,,,,,,,27,28,35,36,32,,,
1014818,2012,,PNRS,,NURS,3.33,3.67,,,,,,,,650,590,1190
1016750,2012,,ELED,,ELED,,,,,23,21,22,24,22,,,
1016841,2012,,EXSC,,,3,,4,3.67,20,20,24,23,21,,,
1017565,2012,,EXSC,,,0,,0.67,,22,22,20,23,21,,,
1020975,2012,,UNDE,,,,,,,32,24,29,26,28,,,
1020985,2012,,UNDE,,COMM,,,,,30,27,29,26,28,,,
1022952,2012,,PNRS,,NURS,2,3.67,,,20,21,20,20,20,,,
1027176,2012,,CE  ,,BA  ,,,,,19,24,17,18,20,,,
1027478,2012,,PNRS,,FINA,,,,,22,25,22,19,22,,,
1028293,2012,,BA  ,,BA  ,,,,,22,22,22,24,22,430,470,900
1033565,2012,,MUS ,,,,,,,27,26,28,29,28,,,
1035513,2012,,EXSC,,,,,,,,,,,,440,560,1000
1036264,2012,,CHEM,,CHEM,2,,,,,,,,,550,540,1090
971133,2013,,PNRS,,NURS,2.67,3,,,22,23,23,24,22,,,
971984,2013,,ACCT,,ECON,,,,,27,26,25,27,26,,,
972696,2013,,UNDE,,EDMI,,,,,28,31,28,24,26,,,
974423,2013,,PNRS,,NURS,3.33,3,,,23,22,30,26,24,,,
982110,2013,,CJS.,,CJS.,,,,,23,22,26,24,24,,,
982131,2013,,FLIS,,FLIS,,,,,30,26,25,29,27,,,
988732,2013,,EXSC,,,4,4,4,,33,28,24,25,26,570,570,1140
106187,2009,,FLIS,,CS  ,,,,,20,21,26,23,22,,,
216038,2009,5/10/2014,BIOL,NURS,,4,4,,,22,23,27,23,24,,,
400131,2009,,SOCI,,,,,,,23,17,27,22,22,,,
400627,2009,,PNRS,,,2,2,,,20,19,23,24,22,,,
400674,2009,,ECON,,,,,,,33,30,33,31,31,640,670,1310
406893,2009,12/19/2012,ACCT,BA  ,,,,,,28,26,28,24,26,,,
409581,2009,5/11/2013,SOCI,BIOL,,,,,,,,,,,650,630,1280
412972,2009,5/11/2013,MATH,MAAC,,,,,,,,,,,550,660,1210
412977,2009,,ART ,,,,,,,,,,,,640,600,1240
413366,2009,5/11/2013,ENGL,ENGL,,,,,,,,,,,640,540,1180
419598,2009,5/11/2013,PSYC,ECON,,,,,,36,34,36,33,35,,,
423762,2009,5/11/2013,UNDE,PSYC,,,,,,29,32,30,26,29,,,
424885,2009,5/11/2013,EXSC,P.T.,,3,3,3.67,4,25,27,27,23,26,,,
432382,2009,,PNRS,,,2,2,,,19,26,17,22,21,340,470,810
451511,2009,,EDMI,,,3,,,,21,20,20,19,20,,,
454511,2009,5/11/2013,ACCT,BA  ,,,,,,23,24,28,25,25,,,
454765,2009,,PNRS,,,1,,,,23,20,22,21,21,,,
457073,2009,,FLIS,,,,,,,,,,,,500,520,1020
457943,2009,,PNRS,,,1,,,,18,22,24,22,22,,,
470986,2009,5/11/2013,PNRS,NURS,,3.33,3,,,21,23,20,18,21,510,510,1020
473913,2009,5/11/2013,PNRS,NURS,,2.67,2.33,,,34,24,33,25,29,,,
481900,2009,,PNRS,,,4,,,,32,29,30,29,30,,,
483531,2009,5/11/2013,ACCT,ACCT,,,,,,26,29,23,23,25,,,
488701,2009,5/11/2013,BA  ,BA  ,,,,,,20,25,22,20,21,420,510,930
490129,2009,5/11/2013,PNRS,NURS,,3.33,3,,,25,20,29,24,25,,,
490202,2009,5/11/2013,MAAC,MAAC,,,,,,28,33,26,29,29,,,
490893,2009,,ART ,,,,,,,34,28,35,34,33,730,640,1370
491222,2009,5/11/2013,EXSC,P.T.,,4,3.67,4,4,26,20,27,26,25,,,
491566,2009,8/13/2013,PSYC,PSYC,,,,,,30,34,36,30,33,,,
491732,2009,5/11/2013,UNDE,ENGL,,,,,,21,22,25,23,23,,,
492375,2009,5/10/2014,PSYC,BA  ,,2,2,,,18,19,19,19,19,,,
492607,2009,,PNRS,,,3.33,3,,,17,18,20,19,19,,,
493153,2009,5/11/2013,EXSC,EXSC,,3,3.33,4,3.67,27,24,31,22,26,,,
493200,2009,,BA  ,,,,,,,21,21,17,20,19,,,
493363,2009,,PSYC,,,,,,,25,24,31,26,27,,,
493910,2009,5/11/2013,BMB ,BMB ,,,,,,,,,,,610,630,1240
498973,2009,,BIOL,,,,,,,30,24,32,24,27,,,
499406,2009,5/11/2013,UNDE,EDMI,,2,,,,20,17,17,21,19,,,
500164,2009,,BMB ,,,,,,,34,29,27,34,31,,,
500279,2009,,PNRS,,,2,,,,17,20,16,18,18,450,490,940
501803,2009,5/11/2013,COMM,BA  ,,,,,,,,,,,560,560,1120
501998,2009,12/18/2013,ENGL,PHIL,,3,,,,25,25,30,23,26,,,
503124,2009,5/11/2013,PNRS,NURS,,3,3,,,19,17,22,20,20,,,
505356,2009,5/11/2013,COMM,COMM,,,,,2,,,,,,510,480,990
509109,2009,,PNRS,,,0,,,,22,16,28,20,22,,,
509547,2009,,PSYC,,,,,,,29,24,27,25,26,,,
510016,2009,5/11/2013,BIOL,MUS ,,,,,4,,,,,,550,610,1160
512211,2009,,BIOL,,,,,,,21,18,19,19,19,,,
512434,2009,5/11/2013,ELED,EDMI,,,,,,23,20,25,21,22,,,
513847,2009,,EXSC,,,3.67,3.67,,,24,24,22,25,24,500,540,1040
514976,2009,5/11/2013,UNDE,BA  ,,,,,,23,25,29,29,27,530,530,1060
515312,2009,5/11/2013,PS  ,PSYC,,3,3,,,24,18,26,22,23,,,
523963,2009,5/11/2013,CHEM,BIOL,,3,,,4,21,22,25,28,24,,,
524417,2009,,UNDE,,,,,,,26,22,27,22,24,,,
544879,2009,5/11/2013,UNDE,COMM,,,,4,3,24,23,29,23,24,580,440,1020
547627,2009,,FLIS,,,,,,,20,20,21,22,21,,,
566941,2009,,CHEM,,,,,,,23,20,20,21,21,,,
570964,2009,,UNDE,,,2,,,,22,23,20,17,21,,,
296888,2010,5/10/2014,MDLS,MDLS,,3,,,,25,26,27,27,26,,,
447427,2010,12/17/2014,PHYS,ENGL,,,,,3.33,23,22,20,20,21,,,
451795,2010,,UNDE,,,,,,,,,,,,440,600,1040
474353,2010,12/17/2014,EXSC,BIOL,,4,4,4,4,29,31,26,25,28,,,
474613,2010,,ECON,,,,,,,25,17,20,21,21,,,
474876,2010,5/10/2014,AIT ,AIT ,,,,,,22,22,25,30,25,,,
482674,2010,,BA  ,,,,,,,23,17,24,22,22,,,
484943,2010,,PSYC,,,,,,,23,18,21,21,21,,,
493638,2010,,ELED,,,,,,,18,22,20,19,19,,,
500386,2010,5/10/2014,EXSC,NURS,,3.67,4,4,3.67,35,30,30,27,30,,,
503925,2010,5/10/2014,EXSC,EXSC,,3,4,3.67,4,17,20,23,22,21,,,
510754,2010,,UNDE,,,,,,,22,20,17,20,19,,,
524494,2010,5/10/2014,ELED,ELED,,,,,,21,22,21,22,20,,,
565601,2010,12/17/2014,BA  ,COMM,,,,,,22,17,17,21,19,,,
566833,2010,,BIOL,,,,,,,26,27,30,27,28,,,
571481,2010,5/9/2015,CHEM,NURS,,3,3,,,22,25,27,23,24,,,
572596,2010,,FLIS,,,,,,,19,20,26,20,21,500,450,950
573547,2010,,BA  ,,,,,,,22,22,28,27,25,,,
618762,2010,5/10/2014,PS  ,PS  ,,,,,,25,22,27,23,24,,,
621081,2010,5/9/2015,PNRS,NURS,,3,2.67,,,22,23,26,21,23,,,
621282,2010,,PNRS,,,3,1,,,24,20,20,24,22,,,
621348,2010,,PNRS,,,2.33,1.67,,,20,24,22,21,22,,,
621374,2010,,AIT ,,,,,,,17,24,17,21,20,,,
623537,2010,5/10/2014,PNRS,NURS,,3,,,,20,29,26,25,25,480,580,1060
623545,2010,5/10/2014,EXSC,P.T.,,4,4,4,4,,,,,,610,540,1150
625107,2010,,BMB ,,,4,4,,,35,24,34,27,29,,,
625499,2010,,EXSC,,,3.67,,4,,26,26,26,28,27,540,610,1150
626289,2010,,EXSC,,,3,2,3,4,31,31,30,30,31,,,
627094,2010,,UNDE,,,,,,,,,,,,640,610,1250
628051,2010,5/10/2014,ELED,ELED,,,,,,22,22,21,23,22,,,
628214,2010,5/10/2014,BA  ,BA  ,,,,,,,,,,,500,570,1070
